행정구역코드,시도,시군구,읍면동,리,합계(㎡),전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
1111015200,서울특별시,종로구,봉익동,,"39,241",0,0,0,0,0,0,0,"25,391",0,0,0,0,0,"8,319",0,0,0,695,0,0,0,"4,836",0,0,0,0,0,0
1111015300,서울특별시,종로구,돈의동,,"32,536",0,0,0,0,0,0,0,"24,841",0,0,275,0,0,"6,528",0,0,0,893,0,0,0,0,0,0,0,0,0,0
1111015400,서울특별시,종로구,장사동,,"57,515",0,0,0,0,0,0,0,"36,339",0,0,0,0,0,"13,754",0,0,"5,122",234,0,0,0,"2,067",0,0,0,0,0,0
1111015500,서울특별시,종로구,관수동,,"60,460",0,0,0,0,0,0,0,"42,641",0,0,0,0,0,"13,115",0,0,"4,205",499,0,0,0,0,0,0,0,0,0,0
1111015600,서울특별시,종로구,종로3가,,"44,652",0,0,0,0,0,0,0,"14,097",0,0,0,0,0,"17,975",0,0,0,"9,313",0,0,0,"3,268",0,0,0,0,0,0
1111015700,서울특별시,종로구,인의동,,"82,690",0,0,0,0,0,0,0,"57,562",0,0,0,0,0,"17,495",0,0,0,"1,174",0,0,0,"6,459",0,0,0,0,0,0
1111015800,서울특별시,종로구,예지동,,"67,333",0,0,0,0,0,0,0,"42,457",0,0,0,0,0,"20,135",0,0,"4,238",343,0,0,0,161,0,0,0,0,0,0
1111015900,서울특별시,종로구,원남동,,"74,095",0,0,0,0,0,0,0,"46,158",0,942,0,0,0,"25,827",0,0,0,238,0,0,0,0,0,0,930,0,0,0
1111016000,서울특별시,종로구,연지동,,"111,659",0,0,0,0,0,0,0,"89,205",0,0,86,0,0,"18,719",0,0,0,347,0,0,0,"3,302",0,0,0,0,0,0
1111016100,서울특별시,종로구,종로4가,,"43,121",0,0,0,0,0,0,0,"16,018",0,0,0,0,0,"24,071",0,0,0,641,0,0,0,"2,391",0,0,0,0,0,0
1111016200,서울특별시,종로구,효제동,,"100,304",0,0,0,0,0,0,0,"55,442",0,"20,409",0,0,0,"22,136",0,0,"2,281",36,0,0,0,0,0,0,0,0,0,0
1111016300,서울특별시,종로구,종로5가,,"108,392",0,0,0,0,0,0,0,"58,095",0,0,0,0,0,"42,019",0,0,"6,602","1,677",0,0,0,0,0,0,0,0,0,0
1111016400,서울특별시,종로구,종로6가,,"151,928",0,0,0,0,0,0,0,"74,556",0,0,327,0,0,"46,306",444,"1,412","6,994","2,012",0,0,0,"10,372",0,0,"6,148","3,357",0,0
1111016500,서울특별시,종로구,이화동,,"122,400",0,0,0,0,0,0,0,"71,058",0,"12,932","2,137",0,0,"24,568",0,0,"1,937","1,060",0,0,0,"8,708",0,0,0,0,0,0
1111016600,서울특별시,종로구,연건동,,"295,241",0,0,0,0,0,0,0,"152,625",0,"94,994",307,0,0,"43,126",0,0,"4,084",106,0,0,0,0,0,0,0,0,0,0
1111016700,서울특별시,종로구,충신동,,"128,023",0,0,0,0,211,0,0,"89,447",0,0,0,0,0,"34,201",0,0,"1,121","1,347",0,0,0,"1,452",0,0,245,0,0,0
1111016800,서울특별시,종로구,동숭동,,"365,308",0,0,0,0,"58,650",0,0,"179,872",0,"56,092",421,0,0,"52,345",0,0,"1,891","6,139",0,0,0,"7,303",0,0,"2,596",0,0,0
1111016900,서울특별시,종로구,혜화동,,"324,287",0,0,0,0,"14,265",0,0,"144,692",0,"96,644",80,628,0,"57,912",0,0,0,"3,248",0,0,0,0,0,0,"6,819",0,0,0
