시도,시군구,읍면동,리,행정구역코드,총계(개소),골프장,금은판매점의 세공시설,농축수산물단순가공시설,사진처리 또는 X-Ray 시설,안경점,운수장비정비시설(폐차장포함)
서울특별시,성동구,금호동4가,,1120011200,4,0,0,0,4,0,0
서울특별시,성동구,도선동,,1120010400,5,0,0,0,4,0,1
서울특별시,성동구,마장동,,1120010500,10,0,0,0,6,0,4
서울특별시,성동구,성수동1가,,1120011400,18,0,0,0,9,0,9
서울특별시,성동구,성수동2가,,1120011500,114,0,0,0,23,0,91
서울특별시,성동구,송정동,,1120011800,3,0,0,0,2,0,1
서울특별시,성동구,옥수동,,1120011300,6,0,0,0,6,0,0
서울특별시,성동구,용답동,,1120012200,21,0,0,0,5,0,16
서울특별시,성동구,응봉동,,1120010800,2,0,0,0,2,0,0
서울특별시,성동구,하왕십리동,,1120010200,2,0,0,0,2,0,0
서울특별시,성동구,행당동,,1120010700,15,0,0,0,15,0,0
서울특별시,광진구,광장동,,1121510400,9,0,0,0,8,0,1
서울특별시,광진구,구의동,,1121510300,31,0,0,0,30,0,1
서울특별시,광진구,군자동,,1121510900,9,0,0,0,9,0,0
서울특별시,광진구,능동,,1121510200,4,0,0,0,4,0,0
서울특별시,광진구,자양동,,1121510500,30,0,0,0,27,0,3
서울특별시,광진구,중곡동,,1121510100,32,0,0,0,31,0,1
서울특별시,광진구,화양동,,1121510700,10,0,0,0,10,0,0
서울특별시,동대문구,답십리동,,1123010500,26,0,0,0,23,0,3
서울특별시,동대문구,신설동,,1123010100,1,0,0,0,1,0,0
서울특별시,동대문구,용두동,,1123010200,23,0,4,0,17,0,2
서울특별시,동대문구,이문동,,1123011000,11,0,0,0,10,0,1
서울특별시,동대문구,장안동,,1123010600,40,0,0,0,35,0,5
서울특별시,동대문구,전농동,,1123010400,19,0,0,0,17,0,2
서울특별시,동대문구,제기동,,1123010300,2,0,0,0,1,0,1
서울특별시,동대문구,청량리동,,1123010700,9,0,0,0,9,0,0
서울특별시,동대문구,회기동,,1123010800,5,0,0,0,5,0,0
서울특별시,동대문구,휘경동,,1123010900,10,0,2,0,8,0,0
서울특별시,중랑구,면목동,,1126010100,181,0,0,0,169,0,12
서울특별시,성북구,길음동,,1129013400,15,0,0,0,15,0,0
서울특별시,성북구,돈암동,,1129010300,3,0,0,0,3,0,0
서울특별시,성북구,동선동2가,,1129011700,1,0,0,0,1,0,0
서울특별시,성북구,동선동4가,,1129011900,3,0,0,0,3,0,0
서울특별시,성북구,동선동5가,,1129012000,1,0,0,0,1,0,0
서울특별시,성북구,동소문동1가,,1129010400,1,0,0,0,1,0,0
서울특별시,성북구,동소문동2가,,1129010500,1,0,0,0,1,0,0
서울특별시,성북구,동소문동3가,,1129010600,5,0,0,0,5,0,0
서울특별시,성북구,동소문동4가,,1129010700,2,0,0,0,2,0,0
서울특별시,성북구,동소문동5가,,1129010800,3,0,0,0,3,0,0
서울특별시,성북구,동소문동6가,,1129010900,5,0,0,0,5,0,0
서울특별시,성북구,동소문동7가,,1129011000,1,0,0,0,1,0,0
서울특별시,성북구,보문동2가,,1129013100,2,0,0,0,2,0,0
서울특별시,성북구,보문동4가,,1129012600,2,0,0,0,2,0,0
서울특별시,성북구,보문동5가,,1129012700,1,0,0,0,1,0,0
서울특별시,성북구,보문동7가,,1129012900,1,0,0,0,1,0,0
서울특별시,성북구,삼선동1가,,1129011100,2,0,0,0,1,0,1
서울특별시,성북구,삼선동2가,,1129011200,2,0,0,0,2,0,0
서울특별시,성북구,삼선동4가,,1129011400,1,0,0,0,1,0,0
서울특별시,성북구,삼선동5가,,1129011500,1,0,0,0,1,0,0
서울특별시,성북구,상월곡동,,1129013700,2,0,0,0,2,0,0
서울특별시,성북구,석관동,,1129013900,10,0,0,0,10,0,0
서울특별시,성북구,성북동,,1129010100,1,0,0,0,1,0,0
서울특별시,성북구,안암동1가,,1129012100,1,0,0,0,1,0,0
서울특별시,성북구,안암동2가,,1129012200,1,0,0,0,1,0,0
서울특별시,성북구,안암동5가,,1129012500,2,0,0,0,2,0,0
