연번,승인번호,통계조사명,통계분야,통계작성기관,통계작성기관성격,서비스 시계열,통계 작성주기,계속여부,자료제공방법,자료제공처,비고
48,12008,정보화통계조사,정보통신,미래창조과학부,중앙행정기관,2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
49,16402,방송매체이용행태조사,문화,방송통신위원회,중앙행정기관,2012~2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
50,11781,의약품소비량및판매액통계,보건,보건복지부,중앙행정기관,2012~2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
51,11730,환자조사,보건,보건복지부,중앙행정기관,2011~2012,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
52,13623,임가경제조사,가계소비(소득),산림청,중앙행정기관,2008~2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
53,,관상수시업상황조사,농림,산림청,중앙행정기관,2013~2014,1년,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,임산물생산조사와의 중복 문제등으로 중지
54,21701,경상남도사회조사,사회,경상남도,지방자치단체,2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
55,20506,광주광역시사회조사,사회,광주광역시,지방자치단체,2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
56,20308,대구광역시사회조사,사회,대구광역시,지방자치단체,2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
57,20609,대전광역시사회조사,사회,대전광역시,지방자치단체,2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
58,20212,부산광역시해양산업조사,광공업,부산광역시,지방자치단체,2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
59,20111,서울시도시정책지표조사,사회,서울특별시,지방자치단체,2010~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
60,21505,전라남도사회조사,사회,전라남도,지방자치단체,2012,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
61,21406,전라북도사회조사,사회,전라북도,지방자치단체,2013,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
62,15401,가족실태조사,인구,여성가족부,중앙행정기관,2015,5년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
